Co-Occurring Word,Percent Co-Occurrence,word
fox,6.768558951965066,foxnews
watch,6.768558951965066,foxnews
never,6.550218340611353,foxnews
impeachment,6.550218340611353,foxnews
rating,6.331877729257641,foxnews
900,6.331877729257641,foxnews
poll,6.331877729257641,foxnews
want,5.676855895196507,foxnews
show,5.676855895196507,foxnews
voter,30.337078651685395,fraud
election,24.15730337078652,fraud
state,16.292134831460675,fraud
ballot,15.168539325842698,fraud
people,14.606741573033707,fraud
vote,14.04494382022472,fraud
democrat,13.48314606741573,fraud
never,12.359550561797752,fraud
big,11.797752808988763,fraud
massive,11.235955056179774,fraud
republican,10.674157303370785,fraud
american,10.674157303370785,fraud
trump,9.550561797752808,fraud
great,8.98876404494382,fraud
fake,8.98876404494382,fraud
schiff,8.98876404494382,fraud
many,8.426966292134832,fraud
total,7.865168539325842,fraud
even,7.865168539325842,fraud
2020,7.303370786516854,fraud
time,7.303370786516854,fraud
public,7.303370786516854,fraud
voting,6.741573033707865,fraud
hillary,6.741573033707865,fraud
rigged,6.179775280898876,fraud
democrat,28.000000000000004,gun
take,20.0,gun
vote,18.0,gun
bad,16.0,gun
biden,16.0,gun
great,16.0,gun
away,16.0,gun
amendment,14.000000000000002,gun
nra,14.000000000000002,gun
want,14.000000000000002,gun
president,12.0,gun
radical,12.0,gun
left,12.0,gun
would,12.0,gun
right,12.0,gun
joe,12.0,gun
trump,12.0,gun
people,10.0,gun
virginia,10.0,gun
big,10.0,gun
hillary,10.0,gun
dems,10.0,gun
school,10.0,gun
2nd,10.0,gun
nothing,10.0,gun
crooked,53.48837209302325,hillary
clinton,45.25939177101968,hillary
email,11.091234347048301,hillary
democrat,10.912343470483005,hillary
fbi,9.838998211091235,hillary
trump,9.30232558139535,hillary
campaign,8.765652951699463,hillary
people,8.050089445438283,hillary
never,7.334525939177102,hillary
bad,6.797853309481217,hillary
russia,6.618962432915922,hillary
rigged,6.440071556350627,hillary
many,6.440071556350627,hillary
obama,6.440071556350627,hillary
like,6.261180679785331,hillary
dnc,6.261180679785331,hillary
election,6.261180679785331,hillary
state,6.082289803220036,hillary
president,5.903398926654741,hillary
want,5.903398926654741,hillary
get,5.545617173524151,hillary
medium,5.545617173524151,hillary
great,5.545617173524151,hillary
collusion,5.545617173524151,hillary
big,5.366726296958855,hillary
impeachment,40.32921810699588,hoax
democrat,34.97942386831276,hoax
hunt,21.810699588477366,hoax
witch,21.810699588477366,hoax
nothing,18.51851851851852,hoax
russia,18.106995884773664,hoax
republican,16.049382716049383,hoax
never,15.637860082304528,hoax
people,15.22633744855967,hoax
fake,14.40329218106996,hoax
great,13.580246913580247,hoax
collusion,13.580246913580247,hoax
russian,13.168724279835391,hoax
news,10.2880658436214,hoax
president,10.2880658436214,hoax
trump,9.876543209876543,hoax
phony,9.465020576131687,hoax
dems,9.465020576131687,hoax
time,9.465020576131687,hoax
another,9.053497942386832,hoax
american,9.053497942386832,hoax
senate,9.053497942386832,hoax
even,8.641975308641975,hoax
scam,8.23045267489712,hoax
country,7.818930041152264,hoax
immigration,28.235294117647058,illegal
border,22.35294117647059,illegal
democrat,19.607843137254903,illegal
state,17.254901960784313,illegal
great,14.50980392156863,illegal
crime,14.117647058823529,illegal
immigrant,14.117647058823529,illegal
people,11.76470588235294,illegal
country,10.980392156862745,illegal
witch,10.196078431372548,illegal
hunt,10.196078431372548,illegal
law,9.803921568627452,illegal
many,9.411764705882353,illegal
trump,9.411764705882353,illegal
united,8.627450980392156,illegal
president,8.235294117647058,illegal
year,8.235294117647058,illegal
southern,8.235294117647058,illegal
must,8.235294117647058,illegal
never,8.235294117647058,illegal
wall,7.8431372549019605,illegal
vote,7.8431372549019605,illegal
fake,7.8431372549019605,illegal
would,7.450980392156863,illegal
mueller,7.450980392156863,illegal
democrat,38.996138996138995,impeachment
hoax,37.83783783783784,impeachment
nothing,22.00772200772201,impeachment
president,19.305019305019304,impeachment
republican,17.374517374517374,impeachment
scam,14.671814671814673,impeachment
pelosi,12.741312741312742,impeachment
great,12.355212355212355,impeachment
nancy,12.355212355212355,impeachment
foxnews,11.583011583011583,impeachment
dems,11.583011583011583,impeachment
people,10.81081081081081,impeachment
house,10.81081081081081,impeachment
senate,10.81081081081081,impeachment
time,10.038610038610038,impeachment
trump,9.266409266409266,impeachment
going,9.266409266409266,impeachment
want,8.880308880308881,impeachment
even,8.880308880308881,impeachment
said,8.880308880308881,impeachment
schiff,8.494208494208493,impeachment
crime,8.494208494208493,impeachment
never,8.494208494208493,impeachment
country,8.108108108108109,impeachment
witch,8.108108108108109,impeachment
deal,28.47682119205298,iran
people,18.543046357615893,iran
state,16.55629139072848,iran
united,15.2317880794702,iran
obama,13.90728476821192,iran
world,12.582781456953644,iran
nuclear,12.582781456953644,iran
many,11.920529801324504,iran
president,11.920529801324504,iran
year,9.933774834437086,iran
russia,9.271523178807946,iran
dont,9.271523178807946,iran
iranian,9.271523178807946,iran
time,8.609271523178808,iran
dollar,8.609271523178808,iran
great,8.609271523178808,iran
american,8.609271523178808,iran
syria,7.9470198675496695,iran
big,7.9470198675496695,iran
want,7.9470198675496695,iran
back,7.9470198675496695,iran
attack,7.9470198675496695,iran
country,7.9470198675496695,iran
sanction,7.9470198675496695,iran
billion,7.28476821192053,iran
iran,25.71428571428571,iraq
military,22.857142857142858,iraq
war,20.0,iraq
syria,17.142857142857142,iraq
embassy,17.142857142857142,iraq
people,17.142857142857142,iraq
many,17.142857142857142,iraq
disaster,14.285714285714285,iraq
voted,14.285714285714285,iraq
going,14.285714285714285,iraq
isi,14.285714285714285,iraq
troop,11.428571428571429,iraq
turkey,8.571428571428571,iraq
dont,8.571428571428571,iraq
attack,8.571428571428571,iraq
wonderful,8.571428571428571,iraq
want,8.571428571428571,iraq
trump,8.571428571428571,iraq
hillary,8.571428571428571,iraq
world,8.571428571428571,iraq
held,8.571428571428571,iraq
year,8.571428571428571,iraq
